       dNchdEta         dNpidY      exp(-p/T)           p/pi            d/p          He3/p          H3L/p          He4/p         H3/He3       H3La/He3             S3
            0.1      0.0582717        0.78773     0.00390022    0.000200511    2.16535e-08    7.23882e-09    1.88017e-12       0.997485       0.334303        1.20097
       0.125568      0.0736752       0.785562     0.00474624    0.000227689    2.79458e-08    9.74444e-09    2.63751e-12       0.997609        0.34869        1.23862
       0.157674      0.0937181       0.782172     0.00577924    0.000261251    3.69363e-08    1.33161e-08    3.83889e-12       0.997677       0.360515        1.26265
       0.197988       0.120052       0.777307     0.00704235    0.000302714    4.98847e-08    1.84489e-08    5.79012e-12       0.997684       0.369832        1.27281
        0.24861       0.155001       0.770675     0.00858938    0.000353983    6.86915e-08    2.58841e-08    9.03025e-12       0.997631       0.376816        1.26941
       0.312175       0.201843       0.761961      0.0104874    0.000417449     9.6243e-08    3.67351e-08    1.45223e-11       0.997521       0.381692        1.25313
       0.391992       0.265156       0.750855       0.012819    0.000496101    1.36945e-07    5.26794e-08    2.40071e-11       0.997363       0.384677        1.22496
       0.492217       0.351216       0.737129      0.0156838    0.000593629    1.97535e-07    7.62381e-08    4.06621e-11       0.997168       0.385948        1.18616
       0.618068       0.468291       0.720752      0.0191948    0.000714485    2.88288e-07    1.11172e-07    7.03181e-11       0.996951       0.385627        1.13842
       0.776097       0.626621       0.702054      0.0234648    0.000863827    4.24702e-07    1.62993e-07     1.2367e-10       0.996729       0.383781        1.08389
       0.974531       0.837782       0.681877      0.0285728     0.00104719     6.2961e-07    2.39531e-07    2.20154e-10       0.996524       0.380444        1.02528
         1.2237        1.11355       0.661575      0.0345033     0.00126971     9.3529e-07    3.51349e-07    3.94311e-10       0.996353       0.375658       0.965689
        1.53658        1.46515       0.642756      0.0410657     0.00153469    1.38434e-06    5.11551e-07     7.0516e-10       0.996234       0.369526       0.908329
        1.92945        1.90404       0.626823      0.0478451     0.00184149     2.0271e-06    7.34354e-07    1.24744e-09       0.996173       0.362268       0.855994
        2.42278        2.44419       0.614612      0.0542609     0.00218339    2.91275e-06    1.03186e-06    2.15976e-09       0.996169       0.354255       0.810528
        3.04224        3.10419       0.606285      0.0597613     0.00254642    4.07298e-06    1.40921e-06    3.61931e-09       0.996214       0.345991       0.772513
        3.82008        3.90874        0.60145      0.0640383     0.00291067    5.50183e-06    1.85975e-06    5.80972e-09       0.996292       0.338024       0.741401
        4.79681         4.8901       0.599386      0.0670978     0.00325439    7.14159e-06    2.36275e-06    8.85746e-09       0.996388       0.330844       0.716052
        6.02326        6.08959       0.599317      0.0691563     0.00355961    8.88722e-06    2.88651e-06    1.27562e-08       0.996488       0.324793       0.695303
         7.5633        7.55892       0.600599      0.0704811     0.00381635    1.06125e-05     3.3966e-06    1.73247e-08       0.996584       0.320058        0.67825
         9.4971        9.36183       0.602774      0.0712892     0.00402299    1.22045e-05     3.8652e-06    2.22357e-08       0.996669       0.316703        0.66422
        11.9253        11.5766       0.605528      0.0717255     0.00418344    1.35868e-05    4.27611e-06    2.71048e-08       0.996741       0.314726       0.652678
        14.9744        14.2997       0.608644      0.0718825     0.00430385    1.47228e-05    4.62423e-06    3.15873e-08         0.9968       0.314087       0.643174
        18.8031          17.65       0.611967      0.0718215     0.00439054    1.56068e-05    4.91195e-06    3.54379e-08       0.996847       0.314731       0.635327
        23.6107        21.7742       0.615385      0.0715868     0.00444923    1.62526e-05    5.14544e-06    3.85244e-08       0.996884       0.316592       0.628815
        29.6475         26.853       0.618829       0.071212      0.0044848    1.66843e-05    5.33189e-06    4.08102e-08       0.996912       0.319575       0.623376
        37.2279        33.1087       0.622263      0.0707244      0.0045014    1.69303e-05    5.47767e-06    4.23279e-08       0.996933       0.323541       0.618796
        46.7464        40.8133       0.625694      0.0701481     0.00450255    1.70195e-05    5.58729e-06    4.31516e-08       0.996948       0.328287       0.614903
        58.6986        50.2979       0.629165      0.0695051     0.00449123    1.69793e-05    5.66294e-06     4.3377e-08       0.996959        0.33352       0.611555
        73.7067        61.9637       0.632758      0.0688169     0.00446998    1.68348e-05    5.70458e-06    4.31065e-08       0.996966       0.338855       0.608636
        92.5522        76.2941        0.63658      0.0681039       0.004441    1.66083e-05    5.71065e-06    4.24395e-08       0.996969       0.343843       0.606055
        116.216        93.8711        0.64074      0.0673845     0.00440614    1.63189e-05    5.67938e-06    4.14671e-08        0.99697       0.348025       0.603734
         145.93        115.398       0.645318      0.0666731      0.0043669    1.59826e-05    5.61038e-06    4.02687e-08       0.996969        0.35103       0.601614
        183.242        141.733       0.650338      0.0659778     0.00432441    1.56124e-05    5.50619e-06    3.89101e-08       0.996965       0.352682       0.599653
        230.094        173.931        0.65575      0.0652995     0.00427945    1.52182e-05    5.37275e-06    3.74445e-08       0.996959       0.353049       0.597819
        288.924        213.302       0.661444      0.0646333     0.00423254    1.48076e-05    5.21849e-06    3.59133e-08       0.996953        0.35242       0.596087
        362.797        261.468        0.66729      0.0639717       0.004184    1.43863e-05    5.05216e-06    3.43481e-08       0.996949       0.351179       0.594439
        455.558        320.426        0.67318       0.063308     0.00413405    1.39585e-05    4.88069e-06    3.27721e-08       0.996948       0.349658       0.592864
        572.035        392.624       0.679047      0.0626389     0.00408286    1.35275e-05    4.70835e-06     3.1203e-08       0.996943       0.348057       0.591358
        718.294        481.051       0.684861      0.0619639     0.00403063    1.30965e-05    4.53737e-06    2.96555e-08        0.99693       0.346457       0.589918
        901.949        589.361       0.690612      0.0612837      0.0039776     1.2668e-05    4.36888e-06    2.81413e-08       0.996912       0.344876       0.588539
        1132.56        722.025       0.696295       0.060599     0.00392393    1.22438e-05    4.20344e-06    2.66684e-08       0.996894       0.343312       0.587208
        1422.14        884.515       0.701908        0.05991     0.00386974     1.1825e-05    4.04128e-06    2.52404e-08       0.996878       0.341757       0.585909
        1785.75        1083.52       0.707451       0.059217      0.0038151    1.14121e-05    3.88248e-06     2.3859e-08       0.996864       0.340206       0.584629
        2242.33        1327.24       0.712924      0.0585204     0.00376013     1.1006e-05    3.72726e-06    2.25268e-08       0.996852       0.338657       0.583361
        2815.66         1625.7       0.718327       0.057821     0.00370499     1.0608e-05    3.57605e-06    2.12483e-08       0.996845       0.337109       0.582106
        3535.57        1991.17       0.723661        0.05712     0.00364991    1.02197e-05    3.42933e-06    2.00276e-08       0.996841       0.335562       0.580868
        4439.55        2438.69       0.728923      0.0564182     0.00359499    9.84185e-06    3.28736e-06    1.88665e-08       0.996838       0.334019       0.579655
        5574.66        2986.69       0.734112      0.0557158     0.00354027    9.47456e-06     3.1501e-06     1.7763e-08       0.996838        0.33248       0.578468
           7000         3657.7        0.73923      0.0550126     0.00348568    9.11726e-06    3.01731e-06    1.67136e-08       0.996838       0.330944       0.577305
